Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,ShotDiff,TargetDiff
2015-11-28,Ath Madrid,Espanol,1,0,H,1,0,H,21,5,6,0,16,26,6,2,0,4,0,0,SP1 (9),1,1,16,6
2015-11-28,Barcelona,Sociedad,4,0,H,2,0,H,11,10,6,2,11,14,6,4,0,5,0,0,SP1 (9),4,4,1,4
2015-11-28,Celta,Sp Gijon,2,1,H,1,0,H,6,9,4,2,14,9,3,5,3,0,0,0,SP1 (9),3,1,-3,2
2015-11-28,Las Palmas,La Coruna,0,2,A,0,1,A,8,10,5,5,14,13,6,4,4,3,0,0,SP1 (9),2,-2,-2,0
2015-11-28,Malaga,Granada,2,2,D,1,0,H,12,11,7,4,15,20,7,4,2,6,1,0,SP1 (9),4,0,1,3
2015-11-29,Vallecano,Ath Bilbao,0,3,A,0,2,A,15,10,3,4,16,14,6,2,4,0,0,1,SP1 (9),3,-3,5,-1
2015-11-29,Sevilla,Valencia,1,0,H,0,0,D,15,0,5,0,26,20,17,0,3,2,0,2,SP1 (9),1,1,15,5
2015-11-29,Eibar,Real Madrid,0,2,A,0,1,A,8,17,3,6,20,7,6,5,3,4,0,0,SP1 (9),2,-2,-9,-3
2015-11-29,Getafe,Villarreal,2,0,H,1,0,H,11,7,5,0,11,15,6,6,4,2,0,0,SP1 (9),2,2,4,5
2015-12-05,Betis,Celta,1,1,D,0,1,A,27,5,6,1,9,16,8,0,5,5,0,1,SP1 (9),2,0,22,5
2015-12-05,Granada,Ath Madrid,0,2,A,0,1,A,18,11,3,4,7,8,6,8,2,1,0,0,SP1 (9),2,-2,7,-1
2015-12-05,La Coruna,Sevilla,1,1,D,1,0,H,8,8,4,2,10,9,6,2,2,3,0,0,SP1 (9),2,0,0,2
2015-12-05,Real Madrid,Getafe,4,1,H,4,0,H,16,7,8,3,9,12,3,4,1,0,0,0,SP1 (9),5,3,9,5
2015-12-05,Valencia,Barcelona,1,1,D,0,0,D,10,16,3,5,13,15,0,6,3,1,0,0,SP1 (9),2,0,-6,-2
2015-12-06,Sp Gijon,Las Palmas,3,1,H,1,1,D,21,12,9,7,9,10,8,4,2,1,0,1,SP1 (9),4,2,9,2
2015-12-06,Ath Bilbao,Malaga,0,0,D,0,0,D,11,7,2,2,7,21,6,1,2,3,1,0,SP1 (9),0,0,4,0
2015-12-06,Sociedad,Eibar,2,1,H,1,1,D,10,5,7,1,12,16,4,3,3,3,0,0,SP1 (9),3,1,5,6
2015-12-06,Villarreal,Vallecano,2,1,H,0,1,A,14,8,5,4,16,14,5,4,1,4,0,0,SP1 (9),3,1,6,1
2015-12-07,Espanol,Levante,1,1,D,0,1,A,9,12,1,5,13,14,2,6,4,5,0,0,SP1 (9),2,0,-3,-4
2015-12-11,Getafe,Sociedad,1,1,D,0,0,D,9,10,5,6,15,12,5,5,3,3,0,0,SP1 (9),2,0,-1,-1
2015-12-12,Sevilla,Sp Gijon,2,0,H,0,0,D,18,4,7,1,13,10,3,1,3,2,0,1,SP1 (9),2,2,14,6
2015-12-12,Levante,Granada,1,2,A,0,0,D,7,8,5,3,25,27,2,1,2,2,0,0,SP1 (9),3,-1,-1,2
2015-12-12,Barcelona,La Coruna,2,2,D,1,0,H,17,13,7,4,4,11,6,2,0,2,0,0,SP1 (9),4,0,4,3
2015-12-12,Celta,Espanol,1,0,H,1,0,H,16,6,3,2,13,23,4,9,3,2,1,0,SP1 (9),1,1,10,1
2015-12-12,Las Palmas,Betis,1,0,H,0,0,D,16,8,4,2,10,9,2,2,3,0,0,0,SP1 (9),1,1,8,2
2015-12-13,Ath Madrid,Ath Bilbao,2,1,H,1,1,D,8,10,4,5,13,10,3,6,1,1,0,0,SP1 (9),3,1,-2,-1
2015-12-13,Eibar,Valencia,1,1,D,1,0,H,14,6,5,1,20,14,9,2,4,4,1,1,SP1 (9),2,0,8,4
2015-12-13,Vallecano,Malaga,1,2,A,1,0,H,13,15,3,5,13,17,6,7,1,2,0,0,SP1 (9),3,-1,-2,-2
2015-12-13,Villarreal,Real Madrid,1,0,H,1,0,H,7,20,3,1,11,9,3,9,2,2,0,0,SP1 (9),1,1,-13,2
2015-12-19,La Coruna,Eibar,2,0,H,1,0,H,13,13,3,1,10,11,9,8,0,2,1,0,SP1 (9),2,2,0,2
2015-12-19,Valencia,Getafe,2,2,D,2,2,D,12,9,7,3,13,20,5,1,2,6,0,0,SP1 (9),4,0,3,4
2015-12-19,Betis,Sevilla,0,0,D,0,0,D,12,8,0,2,23,19,8,8,7,5,0,0,SP1 (9),0,0,4,-2
2015-12-19,Espanol,Las Palmas,1,0,H,0,0,D,12,9,2,4,29,21,7,5,4,4,0,0,SP1 (9),1,1,3,-2
2015-12-20,Ath Bilbao,Levante,2,0,H,0,0,D,18,6,7,1,15,17,10,3,0,5,0,0,SP1 (9),2,2,12,6
2015-12-20,Granada,Celta,0,2,A,0,2,A,11,10,1,4,17,11,9,3,4,2,0,0,SP1 (9),2,-2,1,-3
2015-12-20,Malaga,Ath Madrid,1,0,H,0,0,D,17,6,4,3,9,13,4,1,3,4,0,1,SP1 (9),1,1,11,1
2015-12-20,Real Madrid,Vallecano,10,2,H,4,2,H,30,9,15,4,12,12,10,4,1,2,0,2,SP1 (9),12,8,21,11
2015-12-20,Sociedad,Villarreal,0,2,A,0,1,A,16,7,2,5,12,21,9,1,2,1,0,0,SP1 (9),2,-2,9,-3
2015-12-30,Vallecano,Ath Madrid,0,2,A,0,0,D,10,17,3,6,12,15,3,8,3,3,0,0,SP1 (9),2,-2,-7,-3
2015-12-30,Sevilla,Espanol,2,0,H,2,0,H,15,12,10,1,15,16,6,6,3,3,0,0,SP1 (9),2,2,3,9
2015-12-30,Real Madrid,Sociedad,3,1,H,1,0,H,23,13,13,2,12,9,13,2,1,4,0,0,SP1 (9),4,2,10,11
2015-12-30,Las Palmas,Granada,4,1,H,1,0,H,7,11,4,4,5,21,4,4,2,5,0,1,SP1 (9),5,3,-4,0
2015-12-30,Levante,Malaga,0,1,A,0,0,D,7,9,1,5,20,12,6,5,7,5,0,0,SP1 (9),1,-1,-2,-4
2015-12-30,Eibar,Sp Gijon,2,0,H,0,0,D,16,6,5,0,16,17,5,7,3,3,0,0,SP1 (9),2,2,10,5
2015-12-30,Celta,Ath Bilbao,0,1,A,0,0,D,7,13,3,5,11,11,3,3,3,4,0,0,SP1 (9),1,-1,-6,-2
2015-12-30,Barcelona,Betis,4,0,H,2,0,H,16,11,7,4,16,20,2,3,1,3,0,0,SP1 (9),4,4,5,3
2015-12-30,Getafe,La Coruna,0,0,D,0,0,D,15,10,5,3,9,8,9,2,3,1,0,0,SP1 (9),0,0,5,2
2015-12-31,Villarreal,Valencia,1,0,H,0,0,D,9,6,3,2,21,19,3,6,1,3,0,0,SP1 (9),1,1,3,1
2016-01-02,Ath Madrid,Levante,1,0,H,0,0,D,16,9,2,1,12,14,13,1,0,4,0,0,SP1 (9),1,1,7,1
2016-01-02,Espanol,Barcelona,0,0,D,0,0,D,4,10,1,2,22,10,6,10,5,3,0,0,SP1 (9),0,0,-6,-1
2016-01-02,Malaga,Celta,2,0,H,2,0,H,14,8,4,1,22,11,5,2,4,2,0,1,SP1 (9),2,2,6,3
2016-01-03,Vallecano,Sociedad,2,2,D,1,1,D,12,15,5,7,15,11,7,7,3,3,0,0,SP1 (9),4,0,-3,-2
2016-01-03,Valencia,Real Madrid,2,2,D,1,1,D,11,17,4,4,18,17,4,7,1,1,0,1,SP1 (9),4,0,-6,0
2016-01-03,La Coruna,Villarreal,1,2,A,0,1,A,11,6,4,4,13,11,9,3,3,3,0,0,SP1 (9),3,-1,5,0
2016-01-03,Granada,Sevilla,2,1,H,2,1,H,9,14,4,7,17,13,2,9,2,2,0,1,SP1 (9),3,1,-5,-3
2016-01-03,Ath Bilbao,Las Palmas,2,2,D,1,0,H,16,11,5,5,24,13,5,5,3,4,0,0,SP1 (9),4,0,5,0
2016-01-03,Betis,Eibar,0,4,A,0,2,A,9,6,5,5,16,14,6,2,4,3,0,0,SP1 (9),4,-4,3,0
2016-01-04,Sp Gijon,Getafe,1,2,A,1,0,H,17,11,4,2,13,14,4,2,3,3,0,0,SP1 (9),3,-1,6,2
2016-01-09,Barcelona,Granada,4,0,H,2,0,H,17,8,8,4,14,19,7,0,1,4,0,0,SP1 (9),4,4,9,4
2016-01-09,Getafe,Betis,1,0,H,0,0,D,8,11,3,2,19,11,8,4,1,3,0,0,SP1 (9),1,1,-3,1
2016-01-09,Levante,Vallecano,2,1,H,0,0,D,10,10,4,4,16,15,5,5,5,1,0,0,SP1 (9),3,1,0,0
2016-01-09,Real Madrid,La Coruna,5,0,H,2,0,H,23,18,9,4,9,8,5,9,0,3,0,0,SP1 (9),5,5,5,5
2016-01-09,Sevilla,Ath Bilbao,2,0,H,1,0,H,4,11,4,3,14,13,6,8,2,3,0,0,SP1 (9),2,2,-7,1
2016-01-10,Sociedad,Valencia,2,0,H,0,0,D,24,10,7,3,16,13,5,6,3,4,0,0,SP1 (9),2,2,14,4
2016-01-10,Las Palmas,Malaga,1,1,D,0,0,D,5,11,3,3,21,11,2,5,5,4,0,0,SP1 (9),2,0,-6,0
2016-01-10,Villarreal,Sp Gijon,2,0,H,1,0,H,7,12,4,2,10,12,3,9,4,2,0,0,SP1 (9),2,2,-5,2
